label,local_image_path
motherboard,../data/images/motherboard_0.jpg
motherboard,../data/images/motherboard_1.jpg
motherboard,../data/images/motherboard_2.jpg
motherboard,../data/images/motherboard_3.jpg
motherboard,../data/images/motherboard_4.jpg
motherboard,../data/images/motherboard_5.jpg
motherboard,../data/images/motherboard_6.jpg
motherboard,../data/images/motherboard_7.jpg
motherboard,../data/images/motherboard_8.jpg
motherboard,../data/images/motherboard_9.jpg
motherboard,../data/images/motherboard_10.jpg
motherboard,../data/images/motherboard_11.jpg
motherboard,../data/images/motherboard_12.jpg
motherboard,../data/images/motherboard_13.jpg
motherboard,../data/images/motherboard_14.jpg
motherboard,../data/images/motherboard_15.jpg
motherboard,../data/images/motherboard_16.jpg
motherboard,../data/images/motherboard_17.jpg
motherboard,../data/images/motherboard_18.jpg
motherboard,../data/images/motherboard_19.jpg
motherboard,../data/images/motherboard_20.jpg
motherboard,../data/images/motherboard_21.jpg
motherboard,../data/images/motherboard_22.jpg
motherboard,../data/images/motherboard_23.jpg
motherboard,../data/images/motherboard_24.jpg
motherboard,../data/images/motherboard_25.jpg
motherboard,../data/images/motherboard_26.jpg
motherboard,../data/images/motherboard_27.jpg
motherboard,../data/images/motherboard_28.jpg
motherboard,../data/images/motherboard_29.jpg
motherboard,../data/images/motherboard_30.jpg
motherboard,../data/images/motherboard_31.jpg
motherboard,../data/images/motherboard_32.jpg
motherboard,../data/images/motherboard_33.jpg
motherboard,../data/images/motherboard_34.jpg
motherboard,../data/images/motherboard_35.jpg
motherboard,../data/images/motherboard_36.jpg
motherboard,../data/images/motherboard_37.jpg
motherboard,../data/images/motherboard_38.jpg
motherboard,../data/images/motherboard_39.jpg
motherboard,../data/images/motherboard_40.jpg
motherboard,../data/images/motherboard_41.jpg
motherboard,../data/images/motherboard_42.jpg
motherboard,../data/images/motherboard_43.jpg
motherboard,../data/images/motherboard_44.jpg
motherboard,../data/images/motherboard_45.jpg
motherboard,../data/images/motherboard_46.jpg
motherboard,../data/images/motherboard_47.jpg
motherboard,../data/images/motherboard_48.jpg
motherboard,../data/images/motherboard_49.jpg
motherboard,../data/images/motherboard_50.jpg
motherboard,../data/images/motherboard_51.jpg
motherboard,../data/images/motherboard_52.jpg
motherboard,../data/images/motherboard_53.jpg
motherboard,../data/images/motherboard_54.jpg
motherboard,../data/images/motherboard_55.jpg
motherboard,../data/images/motherboard_56.jpg
motherboard,../data/images/motherboard_57.jpg
motherboard,../data/images/motherboard_58.jpg
motherboard,../data/images/motherboard_59.jpg
motherboard,../data/images/motherboard_60.jpg
motherboard,../data/images/motherboard_61.jpg
motherboard,../data/images/motherboard_62.jpg
motherboard,../data/images/motherboard_63.jpg
